
Host: cmpsrv002

Timers On : Thu Sep 26 15:15:51 2024
Timers Off: Thu Sep 26 15:17:37 2024

Wall Time:      105.40 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
SAPT: Monomer B SCF                 :     17.917u      1.700s      8.000w      1 calls
DF Integrals                        :     92.100u     17.717s     32.799w      1 calls
Omega Integrals                     :      0.183u      0.933s      0.661w      1 calls
Amplitudes                          :    111.133u      8.533s    151.574w      1 calls
Elst10                              :      0.000u      0.000s      0.000w      1 calls
Exch10 S^2                          :      0.033u      0.017s      0.007w      1 calls
Exch10                              :      0.017u      0.000s      0.003w      1 calls
Ind20,r                             :      6.167u      0.517s      1.004w      1 calls
Exch-Ind20,r                        :      0.300u      0.017s      0.047w      1 calls
Disp20                              :      0.600u      0.083s      0.101w      1 calls
Exch-Disp20                         :      4.083u      0.200s      7.208w      1 calls
Elst12                              :      0.000u      0.000s      0.000w      1 calls
Exch11                              :      0.117u      0.033s      0.022w      1 calls
Exch12                              :     40.117u      3.833s      6.730w      1 calls
Ind22                               :      9.567u      2.717s      2.103w      1 calls
Disp21                              :      0.250u      0.150s      0.083w      1 calls
Disp22 (SDQ)                        :     12.733u      1.633s      2.156w      1 calls
Disp22 (T)                          :    315.150u      5.917s     48.161w      1 calls

--------------------------------------------------------------------------------------
SAPT: Dimer SCF                     :     25.350u      2.633s      7.946w      1 calls
| Libint2ERI::Libint2ERI            :      0.383u      0.017s      0.254w      2 calls
| JK: (A|mn)                        :      0.833u      0.183s      0.162w      1 calls
| JK: (A|Q)^-1/2                    :      0.400u      0.067s      0.104w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.017s      0.003w      4 calls
| JK: (Q|mn)                        :      0.767u      0.100s      0.152w      1 calls
| HF: Form core H                   :      3.583u      0.217s      0.975w      1 calls
| HF: Form S/X                      :      0.500u      0.050s      0.152w      1 calls
| HF: Guess                         :      3.550u      0.383s      1.190w      1 calls
| | SAD Guess                       :      3.550u      0.383s      1.188w      1 calls
| HF: Form G                        :      6.267u      0.183s      1.899w     12 calls
| | JK: D                           :      0.133u      0.000s      0.037w     12 calls
| | JK: USO2AO                      :      0.000u      0.000s      0.000w     12 calls
| | JK: JK                          :      5.950u      0.150s      1.773w     12 calls
| | | JK: J                         :      1.083u      0.067s      0.322w     12 calls
| | | | JK: J1                      :      0.450u      0.033s      0.123w     12 calls
| | | | JK: J2                      :      0.550u      0.017s      0.148w     12 calls
| | | JK: K                         :      4.700u      0.083s      1.405w     12 calls
| | | | JK: K1                      :      3.783u      0.050s      1.127w     12 calls
| | | | JK: K2                      :      0.917u      0.033s      0.278w     12 calls
| | JK: AO2USO                      :      0.000u      0.000s      0.000w     12 calls
| HF: Form F                        :      0.000u      0.000s      0.004w     12 calls
| HF: Form D                        :      0.067u      0.033s      0.032w     12 calls
| HF: DIIS                          :      2.717u      0.417s      0.938w     11 calls
| HF: Form C                        :      3.483u      0.417s      1.141w     11 calls
DFMP2 Singles                       :      0.083u      0.033s      0.038w      3 calls
DFMP2 Aia                           :     13.183u      2.017s      7.634w      3 calls
| Libint2ERI::Libint2ERI            :      3.683u      0.150s      2.839w     12 calls
| DFMP2 (A|mn)                      :      5.967u      0.050s      1.902w      3 calls
| DFMP2 (A|mn)C_mi                  :      2.067u      0.067s      0.703w      3 calls
| DFMP2 (A|mi)C_na                  :      0.550u      0.067s      0.209w      3 calls
| DFMP2 Aia Write                   :      0.583u      0.250s      0.273w      3 calls
DFMP2 Bia                           :      5.133u      0.833s      2.216w      3 calls
| DFMP2 Metric                      :      3.733u      0.483s      1.682w      3 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      4 calls
| DFMP2 Aia Read                    :      0.050u      0.050s      0.036w      3 calls
| DFMP2 (ia|A)(A|Q)                 :      0.917u      0.017s      0.283w      3 calls
| DFMP2 Bia Write                   :      0.367u      0.267s      0.204w      3 calls
DFMP2 Energy                        :      1.400u      0.117s      0.485w      3 calls
| DFMP2 Bia Read                    :      0.083u      0.017s      0.033w      6 calls
SAPT: Monomer A SCF                 :     23.883u      2.367s     12.546w      1 calls
| Libint2ERI::Libint2ERI            :      0.767u      0.017s      1.106w      2 calls
| HF: Form core H                   :      3.550u      0.250s      1.703w      1 calls
| HF: Form S/X                      :      0.200u      0.033s      0.112w      1 calls
| HF: Guess                         :      3.417u      0.400s      2.438w      1 calls
| | SAD Guess                       :      3.400u      0.400s      2.437w      1 calls
| HF: Form G                        :      6.817u      0.217s      2.611w     13 calls
| | JK: D                           :      0.050u      0.000s      0.028w     13 calls
| | JK: USO2AO                      :      0.000u      0.000s      0.000w     13 calls
| | JK: JK                          :      6.583u      0.167s      2.470w     13 calls
| | | JK: J                         :      1.017u      0.117s      0.410w     13 calls
| | | | JK: J1                      :      0.283u      0.050s      0.102w     13 calls
| | | | JK: J2                      :      0.700u      0.067s      0.302w     13 calls
| | | JK: K                         :      5.500u      0.050s      2.035w     13 calls
| | | | JK: K1                      :      4.483u      0.050s      1.682w     13 calls
| | | | JK: K2                      :      1.017u      0.000s      0.351w     13 calls
| | JK: AO2USO                      :      0.000u      0.000s      0.000w     13 calls
| HF: Form F                        :      0.183u      0.033s      0.065w     13 calls
| HF: Form D                        :      0.033u      0.017s      0.037w     13 calls
| HF: DIIS                          :      2.467u      0.300s      1.004w     12 calls
| HF: Form C                        :      4.450u      0.650s      1.807w     12 calls
SAPT: Monomer B SCF                 :     17.917u      1.700s      8.000w      1 calls
| Libint2ERI::Libint2ERI            :      0.900u      0.000s      1.120w      2 calls
| HF: Form core H                   :      4.017u      0.267s      1.714w      1 calls
| HF: Form S/X                      :      0.400u      0.017s      0.118w      1 calls
| HF: Guess                         :      1.200u      0.200s      0.426w      1 calls
| | SAD Guess                       :      1.183u      0.183s      0.416w      1 calls
| HF: Form G                        :      4.550u      0.083s      1.534w     10 calls
| | JK: D                           :      0.033u      0.017s      0.024w     10 calls
| | JK: USO2AO                      :      0.000u      0.000s      0.000w     10 calls
| | JK: JK                          :      4.350u      0.033s      1.429w     10 calls
| | | JK: J                         :      0.667u      0.017s      0.243w     10 calls
| | | | JK: J1                      :      0.217u      0.000s      0.083w     10 calls
| | | | JK: J2                      :      0.417u      0.017s      0.154w     10 calls
| | | JK: K                         :      3.633u      0.017s      1.168w     10 calls
| | | | JK: K1                      :      3.317u      0.017s      1.037w     10 calls
| | | | JK: K2                      :      0.317u      0.000s      0.130w     10 calls
| | JK: AO2USO                      :      0.000u      0.000s      0.000w     10 calls
| HF: Form F                        :      0.083u      0.000s      0.026w     10 calls
| HF: Form D                        :      0.017u      0.000s      0.016w     10 calls
| HF: DIIS                          :      1.367u      0.217s      0.556w      9 calls
| HF: Form C                        :      3.200u      0.467s      1.294w      9 calls
DF Integrals                        :     92.100u     17.717s     32.799w      1 calls
| Libint2ERI::Libint2ERI            :      2.400u      0.050s      1.454w     10 calls
Omega Integrals                     :      0.183u      0.933s      0.661w      1 calls
Amplitudes                          :    111.133u      8.533s    151.574w      1 calls
Elst10                              :      0.000u      0.000s      0.000w      1 calls
Exch10 S^2                          :      0.033u      0.017s      0.007w      1 calls
Exch10                              :      0.017u      0.000s      0.003w      1 calls
Ind20,r                             :      6.167u      0.517s      1.004w      1 calls
Exch-Ind20,r                        :      0.300u      0.017s      0.047w      1 calls
Disp20                              :      0.600u      0.083s      0.101w      1 calls
Exch-Disp20                         :      4.083u      0.200s      7.208w      1 calls
Elst12                              :      0.000u      0.000s      0.000w      1 calls
Exch11                              :      0.117u      0.033s      0.022w      1 calls
Exch12                              :     40.117u      3.833s      6.730w      1 calls
Ind22                               :      9.567u      2.717s      2.103w      1 calls
Disp21                              :      0.250u      0.150s      0.083w      1 calls
Disp22 (SDQ)                        :     12.733u      1.633s      2.156w      1 calls
Disp22 (T)                          :    315.150u      5.917s     48.161w      1 calls

**************************************************************************************

Host: cmpsrv002

Timers On : Thu Sep 26 15:25:32 2024
Timers Off: Thu Sep 26 15:31:14 2024

Wall Time:      341.71 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
SAPT: Dimer SCF                     :     20.300u      2.233s      6.142w      1 calls
Libint2ERI::Libint2ERI              :      9.000u      0.217s      9.412w     36 calls
JK: (A|mn)                          :      0.717u      0.167s      0.147w      1 calls
JK: (A|Q)^-1/2                      :      0.500u      0.050s      0.147w      1 calls
JK: (Q|mn)                          :      0.567u      0.083s      0.179w      1 calls
HF: Form core H                     :      8.750u      0.817s      2.725w      3 calls
HF: Form S/X                        :      1.367u      0.183s      0.511w      3 calls
HF: Guess                           :      8.667u      0.800s      3.349w      3 calls
SAD Guess                           :      8.650u      0.783s      3.340w      3 calls
HF: Form G                          :     13.933u      0.500s      3.654w     35 calls
JK: D                               :      0.200u      0.033s      0.089w     35 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     35 calls
JK: JK                              :     13.167u      0.383s      3.371w     35 calls
JK: J                               :      2.900u      0.233s      0.753w     35 calls
JK: J1                              :      1.250u      0.067s      0.292w     35 calls
JK: J2                              :      1.583u      0.167s      0.446w     35 calls
JK: K                               :      9.950u      0.100s      2.533w     35 calls
JK: K1                              :      7.767u      0.083s      2.002w     35 calls
JK: K2                              :      2.117u      0.017s      0.529w     35 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     35 calls
HF: Form F                          :      0.150u      0.000s      0.062w     35 calls
HF: Form D                          :      0.350u      0.067s      0.111w     35 calls
HF: DIIS                            :      6.617u      0.883s      2.067w     32 calls
HF: Form C                          :      8.983u      0.950s      2.685w     32 calls
DFMP2 Singles                       :      0.233u      0.017s      0.100w      3 calls
DFMP2 Aia                           :     13.967u      2.317s      9.073w      3 calls
DFMP2 (A|mn)                        :      6.283u      0.083s      1.768w      3 calls
DFMP2 (A|mn)C_mi                    :      2.050u      0.033s      0.538w      3 calls
DFMP2 (A|mi)C_na                    :      0.533u      0.083s      0.174w      3 calls
DFMP2 Aia Write                     :      0.300u      0.167s      0.149w      3 calls
DFMP2 Bia                           :      3.833u      0.633s      1.535w      3 calls
DFMP2 Metric                        :      2.700u      0.417s      1.127w      3 calls
DFMP2 Aia Read                      :      0.017u      0.017s      0.016w      3 calls
DFMP2 (ia|A)(A|Q)                   :      0.683u      0.050s      0.207w      3 calls
DFMP2 Bia Write                     :      0.383u      0.133s      0.157w      3 calls
DFMP2 Energy                        :      1.667u      0.100s      0.460w      3 calls
DFMP2 Bia Read                      :      0.083u      0.033s      0.025w      6 calls
SAPT: Monomer A SCF                 :     21.133u      2.250s      8.477w      1 calls
SAPT: Monomer B SCF                 :     18.433u      1.550s      6.993w      1 calls
DF Integrals                        :    185.050u     23.217s    140.948w      1 calls
Omega Integrals                     :      0.100u      0.750s      0.514w      1 calls
Amplitudes                          :     73.217u      7.133s    109.429w      1 calls
Elst10                              :      0.000u      0.000s      0.000w      1 calls
Exch10 S^2                          :      0.000u      0.000s      0.001w      1 calls
Exch10                              :      0.000u      0.000s      0.002w      1 calls
Ind20,r                             :      4.733u      0.283s      0.752w      1 calls
Exch-Ind20,r                        :      0.200u      0.017s      0.031w      1 calls
Disp20                              :      0.433u      0.067s      0.075w      1 calls
Exch-Disp20                         :      3.250u      0.117s      3.699w      1 calls
Elst12                              :      0.000u      0.000s      0.000w      1 calls
Exch11                              :      0.117u      0.000s      0.018w      1 calls
Exch12                              :     36.400u      3.867s      6.127w      1 calls
Ind22                               :      9.400u      2.683s      2.042w      1 calls
Disp21                              :      0.300u      0.133s      0.089w      1 calls
Disp22 (SDQ)                        :     12.417u      1.783s      2.130w      1 calls
Disp22 (T)                          :    266.967u      5.100s     40.812w      1 calls

--------------------------------------------------------------------------------------
SAPT: Dimer SCF                     :     20.300u      2.233s      6.142w      1 calls
| Libint2ERI::Libint2ERI            :      0.517u      0.033s      0.332w      2 calls
| JK: (A|mn)                        :      0.717u      0.167s      0.147w      1 calls
| JK: (A|Q)^-1/2                    :      0.500u      0.050s      0.147w      1 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.003w      4 calls
| JK: (Q|mn)                        :      0.567u      0.083s      0.179w      1 calls
| HF: Form core H                   :      2.867u      0.317s      0.723w      1 calls
| HF: Form S/X                      :      0.233u      0.017s      0.061w      1 calls
| HF: Guess                         :      3.383u      0.267s      0.922w      1 calls
| | SAD Guess                       :      3.367u      0.267s      0.921w      1 calls
| HF: Form G                        :      4.733u      0.217s      1.278w     13 calls
| | JK: D                           :      0.083u      0.017s      0.029w     13 calls
| | JK: USO2AO                      :      0.000u      0.000s      0.000w     13 calls
| | JK: JK                          :      4.550u      0.167s      1.194w     13 calls
| | | JK: J                         :      0.650u      0.100s      0.186w     13 calls
| | | | JK: J1                      :      0.300u      0.017s      0.065w     13 calls
| | | | JK: J2                      :      0.333u      0.083s      0.117w     13 calls
| | | JK: K                         :      3.783u      0.050s      0.975w     13 calls
| | | | JK: K1                      :      2.783u      0.033s      0.723w     13 calls
| | | | JK: K2                      :      0.983u      0.017s      0.251w     13 calls
| | JK: AO2USO                      :      0.000u      0.000s      0.000w     13 calls
| HF: Form F                        :      0.017u      0.000s      0.012w     13 calls
| HF: Form D                        :      0.050u      0.000s      0.024w     13 calls
| HF: DIIS                          :      2.217u      0.300s      0.707w     12 calls
| HF: Form C                        :      2.383u      0.267s      0.775w     12 calls
DFMP2 Singles                       :      0.233u      0.017s      0.100w      3 calls
DFMP2 Aia                           :     13.967u      2.317s      9.073w      3 calls
| Libint2ERI::Libint2ERI            :      4.033u      0.150s      4.032w     12 calls
| DFMP2 (A|mn)                      :      6.283u      0.083s      1.768w      3 calls
| DFMP2 (A|mn)C_mi                  :      2.050u      0.033s      0.538w      3 calls
| DFMP2 (A|mi)C_na                  :      0.533u      0.083s      0.174w      3 calls
| DFMP2 Aia Write                   :      0.300u      0.167s      0.149w      3 calls
DFMP2 Bia                           :      3.833u      0.633s      1.535w      3 calls
| DFMP2 Metric                      :      2.700u      0.417s      1.127w      3 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      4 calls
| DFMP2 Aia Read                    :      0.017u      0.017s      0.016w      3 calls
| DFMP2 (ia|A)(A|Q)                 :      0.683u      0.050s      0.207w      3 calls
| DFMP2 Bia Write                   :      0.383u      0.133s      0.157w      3 calls
DFMP2 Energy                        :      1.667u      0.100s      0.460w      3 calls
| DFMP2 Bia Read                    :      0.083u      0.033s      0.025w      6 calls
SAPT: Monomer A SCF                 :     21.133u      2.250s      8.477w      1 calls
| Libint2ERI::Libint2ERI            :      0.750u      0.000s      0.675w      2 calls
| HF: Form core H                   :      2.700u      0.283s      1.043w      1 calls
| HF: Form S/X                      :      0.783u      0.100s      0.310w      1 calls
| HF: Guess                         :      3.850u      0.367s      1.931w      1 calls
| | SAD Guess                       :      3.850u      0.367s      1.926w      1 calls
| HF: Form G                        :      5.083u      0.117s      1.420w     12 calls
| | JK: D                           :      0.117u      0.017s      0.056w     12 calls
| | JK: USO2AO                      :      0.000u      0.000s      0.000w     12 calls
| | JK: JK                          :      4.633u      0.083s      1.261w     12 calls
| | | JK: J                         :      0.783u      0.033s      0.215w     12 calls
| | | | JK: J1                      :      0.383u      0.000s      0.103w     12 calls
| | | | JK: J2                      :      0.367u      0.033s      0.107w     12 calls
| | | JK: K                         :      3.783u      0.033s      1.027w     12 calls
| | | | JK: K1                      :      2.983u      0.033s      0.825w     12 calls
| | | | JK: K2                      :      0.800u      0.000s      0.201w     12 calls
| | JK: AO2USO                      :      0.000u      0.000s      0.000w     12 calls
| HF: Form F                        :      0.083u      0.000s      0.034w     12 calls
| HF: Form D                        :      0.200u      0.050s      0.059w     12 calls
| HF: DIIS                          :      2.233u      0.400s      0.809w     11 calls
| HF: Form C                        :      3.500u      0.433s      1.155w     11 calls
SAPT: Monomer B SCF                 :     18.433u      1.550s      6.993w      1 calls
| Libint2ERI::Libint2ERI            :      0.950u      0.000s      1.509w      2 calls
| HF: Form core H                   :      3.183u      0.217s      0.959w      1 calls
| HF: Form S/X                      :      0.350u      0.067s      0.139w      1 calls
| HF: Guess                         :      1.433u      0.167s      0.496w      1 calls
| | SAD Guess                       :      1.433u      0.150s      0.493w      1 calls
| HF: Form G                        :      4.117u      0.167s      0.956w     10 calls
| | JK: D                           :      0.000u      0.000s      0.004w     10 calls
| | JK: USO2AO                      :      0.000u      0.000s      0.000w     10 calls
| | JK: JK                          :      3.983u      0.133s      0.917w     10 calls
| | | JK: J                         :      1.467u      0.100s      0.352w     10 calls
| | | | JK: J1                      :      0.567u      0.050s      0.124w     10 calls
| | | | JK: J2                      :      0.883u      0.050s      0.223w     10 calls
| | | JK: K                         :      2.383u      0.017s      0.531w     10 calls
| | | | JK: K1                      :      2.000u      0.017s      0.454w     10 calls
| | | | JK: K2                      :      0.333u      0.000s      0.076w     10 calls
| | JK: AO2USO                      :      0.000u      0.000s      0.000w     10 calls
| HF: Form F                        :      0.050u      0.000s      0.016w     10 calls
| HF: Form D                        :      0.100u      0.017s      0.029w     10 calls
| HF: DIIS                          :      2.167u      0.183s      0.552w      9 calls
| HF: Form C                        :      3.100u      0.250s      0.756w      9 calls
DF Integrals                        :    185.050u     23.217s    140.948w      1 calls
| Libint2ERI::Libint2ERI            :      2.733u      0.033s      2.860w     10 calls
Omega Integrals                     :      0.100u      0.750s      0.514w      1 calls
Amplitudes                          :     73.217u      7.133s    109.429w      1 calls
Elst10                              :      0.000u      0.000s      0.000w      1 calls
Exch10 S^2                          :      0.000u      0.000s      0.001w      1 calls
Exch10                              :      0.000u      0.000s      0.002w      1 calls
Ind20,r                             :      4.733u      0.283s      0.752w      1 calls
Exch-Ind20,r                        :      0.200u      0.017s      0.031w      1 calls
Disp20                              :      0.433u      0.067s      0.075w      1 calls
Exch-Disp20                         :      3.250u      0.117s      3.699w      1 calls
Elst12                              :      0.000u      0.000s      0.000w      1 calls
Exch11                              :      0.117u      0.000s      0.018w      1 calls
Exch12                              :     36.400u      3.867s      6.127w      1 calls
Ind22                               :      9.400u      2.683s      2.042w      1 calls
Disp21                              :      0.300u      0.133s      0.089w      1 calls
Disp22 (SDQ)                        :     12.417u      1.783s      2.130w      1 calls
Disp22 (T)                          :    266.967u      5.100s     40.812w      1 calls

**************************************************************************************

Host: cmpsrv002

Timers On : Thu Sep 26 15:25:32 2024
Timers Off: Thu Sep 26 15:33:30 2024

Wall Time:      477.95 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
SAPT: Dimer SCF                     :     28.533u      2.933s      8.914w      1 calls
Libint2ERI::Libint2ERI              :      8.900u      0.300s     11.766w     36 calls
JK: (A|mn)                          :      0.800u      0.217s      0.226w      1 calls
JK: (A|Q)^-1/2                      :      0.767u      0.100s      0.210w      1 calls
JK: (Q|mn)                          :      0.917u      0.083s      0.177w      1 calls
HF: Form core H                     :     12.400u      0.850s      4.517w      3 calls
HF: Form S/X                        :      1.033u      0.150s      0.352w      3 calls
HF: Guess                           :      9.333u      0.933s      3.006w      3 calls
SAD Guess                           :      9.283u      0.933s      2.993w      3 calls
HF: Form G                          :     17.083u      0.583s      5.421w     35 calls
JK: D                               :      0.450u      0.050s      0.166w     35 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     35 calls
JK: JK                              :     15.783u      0.467s      4.904w     35 calls
JK: J                               :      3.867u      0.233s      1.208w     35 calls
JK: J1                              :      1.717u      0.067s      0.497w     35 calls
JK: J2                              :      1.867u      0.150s      0.620w     35 calls
JK: K                               :     11.483u      0.167s      3.556w     35 calls
JK: K1                              :      8.967u      0.100s      2.804w     35 calls
JK: K2                              :      2.483u      0.067s      0.750w     35 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     35 calls
HF: Form F                          :      0.483u      0.050s      0.172w     35 calls
HF: Form D                          :      0.533u      0.100s      0.221w     35 calls
HF: DIIS                            :      7.000u      1.283s      2.933w     32 calls
HF: Form C                          :      9.733u      0.933s      3.313w     32 calls
DFMP2 Singles                       :      0.150u      0.000s      0.054w      3 calls
DFMP2 Aia                           :     13.267u      2.250s     10.442w      3 calls
DFMP2 (A|mn)                        :      6.117u      0.133s      2.247w      3 calls
DFMP2 (A|mn)C_mi                    :      1.467u      0.017s      0.647w      3 calls
DFMP2 (A|mi)C_na                    :      0.500u      0.017s      0.214w      3 calls
DFMP2 Aia Write                     :      0.333u      0.167s      0.226w      3 calls
DFMP2 Bia                           :      4.633u      0.933s      2.441w      3 calls
DFMP2 Metric                        :      3.600u      0.633s      1.839w      3 calls
DFMP2 Aia Read                      :      0.017u      0.033s      0.060w      3 calls
DFMP2 (ia|A)(A|Q)                   :      0.667u      0.033s      0.275w      3 calls
DFMP2 Bia Write                     :      0.317u      0.217s      0.227w      3 calls
DFMP2 Energy                        :      1.583u      0.117s      0.657w      3 calls
DFMP2 Bia Read                      :      0.150u      0.050s      0.063w      6 calls
SAPT: Monomer A SCF                 :     22.467u      2.200s     10.763w      1 calls
SAPT: Monomer B SCF                 :     19.233u      1.767s      8.603w      1 calls
DF Integrals                        :    208.917u     21.450s    255.668w      1 calls
Omega Integrals                     :      0.100u      0.583s      0.409w      1 calls
Amplitudes                          :     76.600u      6.883s    100.027w      1 calls
Elst10                              :      0.000u      0.000s      0.000w      1 calls
Exch10 S^2                          :      0.033u      0.000s      0.007w      1 calls
Exch10                              :      0.000u      0.000s      0.002w      1 calls
Ind20,r                             :      4.783u      0.300s      0.762w      1 calls
Exch-Ind20,r                        :      0.217u      0.017s      0.035w      1 calls
Disp20                              :      0.433u      0.083s      0.077w      1 calls
Exch-Disp20                         :      3.333u      0.150s     11.881w      1 calls
Elst12                              :      0.000u      0.000s      0.000w      1 calls
Exch11                              :      0.150u      0.017s      0.027w      1 calls
Exch12                              :     37.917u      3.783s      6.340w      1 calls
Ind22                               :      9.767u      2.700s      2.145w      1 calls
Disp21                              :      0.283u      0.117s      0.076w      1 calls
Disp22 (SDQ)                        :     12.733u      1.733s      2.172w      1 calls
Disp22 (T)                          :    352.633u      7.250s     53.986w      1 calls

--------------------------------------------------------------------------------------
SAPT: Dimer SCF                     :     28.533u      2.933s      8.914w      1 calls
| Libint2ERI::Libint2ERI            :      0.483u      0.033s      0.312w      2 calls
| JK: (A|mn)                        :      0.800u      0.217s      0.226w      1 calls
| JK: (A|Q)^-1/2                    :      0.767u      0.100s      0.210w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.017s      0.003w      4 calls
| JK: (Q|mn)                        :      0.917u      0.083s      0.177w      1 calls
| HF: Form core H                   :      4.100u      0.250s      1.085w      1 calls
| HF: Form S/X                      :      0.217u      0.017s      0.046w      1 calls
| HF: Guess                         :      5.450u      0.483s      1.599w      1 calls
| | SAD Guess                       :      5.433u      0.483s      1.597w      1 calls
| HF: Form G                        :      6.450u      0.267s      1.840w     12 calls
| | JK: D                           :      0.133u      0.033s      0.047w     12 calls
| | JK: USO2AO                      :      0.000u      0.000s      0.000w     12 calls
| | JK: JK                          :      6.100u      0.233s      1.709w     12 calls
| | | JK: J                         :      1.283u      0.100s      0.354w     12 calls
| | | | JK: J1                      :      0.550u      0.050s      0.156w     12 calls
| | | | JK: J2                      :      0.633u      0.050s      0.176w     12 calls
| | | JK: K                         :      4.567u      0.117s      1.276w     12 calls
| | | | JK: K1                      :      3.317u      0.083s      0.954w     12 calls
| | | | JK: K2                      :      1.233u      0.033s      0.321w     12 calls
| | JK: AO2USO                      :      0.000u      0.000s      0.000w     12 calls
| HF: Form F                        :      0.183u      0.017s      0.057w     12 calls
| HF: Form D                        :      0.233u      0.017s      0.082w     12 calls
| HF: DIIS                          :      2.767u      0.517s      1.221w     11 calls
| HF: Form C                        :      3.050u      0.317s      0.911w     11 calls
DFMP2 Singles                       :      0.150u      0.000s      0.054w      3 calls
DFMP2 Aia                           :     13.267u      2.250s     10.442w      3 calls
| Libint2ERI::Libint2ERI            :      4.100u      0.200s      4.484w     12 calls
| DFMP2 (A|mn)                      :      6.117u      0.133s      2.247w      3 calls
| DFMP2 (A|mn)C_mi                  :      1.467u      0.017s      0.647w      3 calls
| DFMP2 (A|mi)C_na                  :      0.500u      0.017s      0.214w      3 calls
| DFMP2 Aia Write                   :      0.333u      0.167s      0.226w      3 calls
DFMP2 Bia                           :      4.633u      0.933s      2.441w      3 calls
| DFMP2 Metric                      :      3.600u      0.633s      1.839w      3 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      4 calls
| DFMP2 Aia Read                    :      0.017u      0.033s      0.060w      3 calls
| DFMP2 (ia|A)(A|Q)                 :      0.667u      0.033s      0.275w      3 calls
| DFMP2 Bia Write                   :      0.317u      0.217s      0.227w      3 calls
DFMP2 Energy                        :      1.583u      0.117s      0.657w      3 calls
| DFMP2 Bia Read                    :      0.150u      0.050s      0.063w      6 calls
SAPT: Monomer A SCF                 :     22.467u      2.200s     10.763w      1 calls
| Libint2ERI::Libint2ERI            :      0.717u      0.000s      1.305w      2 calls
| HF: Form core H                   :      3.783u      0.317s      1.814w      1 calls
| HF: Form S/X                      :      0.400u      0.067s      0.147w      1 calls
| HF: Guess                         :      2.633u      0.250s      0.920w      1 calls
| | SAD Guess                       :      2.600u      0.250s      0.909w      1 calls
| HF: Form G                        :      6.233u      0.150s      2.233w     13 calls
| | JK: D                           :      0.117u      0.000s      0.051w     13 calls
| | JK: USO2AO                      :      0.000u      0.000s      0.000w     13 calls
| | JK: JK                          :      5.833u      0.117s      2.044w     13 calls
| | | JK: J                         :      1.533u      0.083s      0.554w     13 calls
| | | | JK: J1                      :      0.750u      0.000s      0.241w     13 calls
| | | | JK: J2                      :      0.733u      0.083s      0.298w     13 calls
| | | JK: K                         :      4.150u      0.017s      1.451w     13 calls
| | | | JK: K1                      :      3.317u      0.017s      1.167w     13 calls
| | | | JK: K2                      :      0.817u      0.000s      0.283w     13 calls
| | JK: AO2USO                      :      0.000u      0.000s      0.000w     13 calls
| HF: Form F                        :      0.117u      0.000s      0.063w     13 calls
| HF: Form D                        :      0.150u      0.050s      0.071w     13 calls
| HF: DIIS                          :      2.167u      0.450s      0.961w     12 calls
| HF: Form C                        :      3.767u      0.367s      1.538w     12 calls
SAPT: Monomer B SCF                 :     19.233u      1.767s      8.603w      1 calls
| Libint2ERI::Libint2ERI            :      1.033u      0.000s      1.477w      2 calls
| HF: Form core H                   :      4.517u      0.283s      1.617w      1 calls
| HF: Form S/X                      :      0.417u      0.067s      0.158w      1 calls
| HF: Guess                         :      1.250u      0.200s      0.488w      1 calls
| | SAD Guess                       :      1.250u      0.200s      0.487w      1 calls
| HF: Form G                        :      4.400u      0.167s      1.347w     10 calls
| | JK: D                           :      0.200u      0.017s      0.068w     10 calls
| | JK: USO2AO                      :      0.000u      0.000s      0.000w     10 calls
| | JK: JK                          :      3.850u      0.117s      1.151w     10 calls
| | | JK: J                         :      1.050u      0.050s      0.300w     10 calls
| | | | JK: J1                      :      0.417u      0.017s      0.100w     10 calls
| | | | JK: J2                      :      0.500u      0.017s      0.146w     10 calls
| | | JK: K                         :      2.767u      0.033s      0.829w     10 calls
| | | | JK: K1                      :      2.333u      0.000s      0.683w     10 calls
| | | | JK: K2                      :      0.433u      0.033s      0.146w     10 calls
| | JK: AO2USO                      :      0.000u      0.000s      0.000w     10 calls
| HF: Form F                        :      0.183u      0.033s      0.053w     10 calls
| HF: Form D                        :      0.150u      0.033s      0.068w     10 calls
| HF: DIIS                          :      2.067u      0.317s      0.750w      9 calls
| HF: Form C                        :      2.917u      0.250s      0.863w      9 calls
DF Integrals                        :    208.917u     21.450s    255.668w      1 calls
| Libint2ERI::Libint2ERI            :      2.567u      0.050s      4.185w     10 calls
Omega Integrals                     :      0.100u      0.583s      0.409w      1 calls
Amplitudes                          :     76.600u      6.883s    100.027w      1 calls
