Electrostatics,Exchange,Induction,SAPT HF,Total HF,Delta HF,Distance
-56.67100911,119.4486845,-32.75463416,30.02304123,1.02175732,-29.00128391,80
-47.56330134,95.82801707,-23.66976047,24.59495526,-0.44694158,-25.04189684,85
-39.71019579,76.59809673,-17.31912921,19.56877173,-1.42357724,-20.99234897,90
-33.05955886,61.03641673,-12.85089415,15.12596372,-2.10954821,-17.23551193,95
-27.49452146,48.50142546,-9.67696849,11.32993551,-2.60831006,-13.93824556,100
-22.87800166,38.44771025,-7.39655362,8.17315496,-2.97257652,-11.14573148,105
-19.0697389,30.41097869,-5.73561313,5.60562667,-3.23117833,-8.83680499,110
-11.27174263,14.88329003,-2.88566691,0.72588048,-3.5322668,-4.25814728,125
-5.21875256,4.39480938,-1.09638434,-1.92032752,-3.11164153,-1.19131401,150
-1.74003905,0.35525136,-0.22262208,-1.60740977,-1.69617549,-0.08876572,200
