Electrostatics,Exchange,Induction,SAPT HF,Total HF,Delta HF,Distance
-51.51660929,101.90586241,-27.94118588,22.44806724,0.25585294,-22.1922143,80
-43.28928771,80.5760345,-20.14537226,17.14137454,-2.0243309,-19.16570544,85
-36.26618032,63.50256112,-14.74918236,12.48719844,-3.54522531,-16.03242376,90
-30.35962396,49.90209509,-10.97375579,8.56871534,-4.54945405,-13.11816939,95
-25.44214891,39.11650668,-8.29836433,5.37599344,-5.18873878,-10.56473222,100
-21.37328676,30.59254214,-6.37360793,2.84564744,-5.56331019,-8.40895764,105
-18.01968493,23.87811249,-4.96660436,0.89182321,-5.74255926,-6.63438247,110
-11.1212926,11.23898022,-2.52548714,-2.40779952,-5.55602611,-3.14822659,125
-5.60675313,3.11687246,-0.95892138,-3.44880205,-4.30800928,-0.85920722,150
-2.1060328,0.22368555,-0.18818643,-2.07053368,-2.13228907,-0.06175539,200
