Electrostatics,Exchange,Induction,SAPT(DFT) Exch-Ind(S^Inf),SAPT(DFT) Exch-Ind(S^2),Delta HF,SAPT0 Exch-Ind(S^Inf),SAPT0 Exch-Ind(S^2),Dispersion,Total SAPT(DFT),Distance
-54.25571437,117.05054178,-61.93705523,51.331489824724194,36.1632387,-29.00128391,49.1389036384935,34.21375695,-17.53676201,-16.67898983,80
-45.54360091,93.9830256,-48.75108476,37.898792190441,28.26238689,-25.04189542,36.1314777013905,26.70006545,-14.7234862,-15.03514627,85
-38.0426046,75.2284673,-38.26634734,28.009834144870503,21.92710176,-20.99234897,26.5775211529542,20.66080823,-12.41319005,-13.49367469,90
-31.69575184,60.06619655,-29.9941788,20.722525587663903,16.90392224,-17.23551193,19.5564532350837,15.86886892,-10.50670277,-12.13043687,95
-26.38659098,47.85421165,-23.50071674,15.343964831239202,12.95867498,-13.93824352,14.3935336357917,12.10903614,-8.92518363,-10.9582797,100
-21.98120679,38.0503775,-18.42202836,11.370987970800899,9.88760719,-11.14573148,10.596894646848899,9.18911779,-7.60444062,-9.95729826,105
-18.34489668,30.20098237,-14.45637957,8.4332155872822,7.51436631,-8.83680507,7.8041733145389,6.94081285,-6.49747409,-9.09776796,110
-10.88075721,14.96786076,-7.06351574,3.449948699886,3.23583749,-4.25814739,3.1268104863801,2.93219825,-4.1062304,-7.0826426,125
-5.04842636,4.53757339,-2.25608778,0.7866854604453001,0.76860798,-1.19131401,0.6921874933506,0.6767367,-1.92515461,-4.69209536,150
-1.67103047,0.38679804,-0.30446765,0.043728473607,0.04360974,-0.08876572,0.036850123143600005,0.03675962,-0.44772871,-2.03642878,200
