Electrostatics,Exchange,Induction,SAPT HF,Total HF,Delta HF,Distance
-43.3485915,80.40618076,-19.56899855,17.4885907,0.8531562,-16.6354345,80
-36.27505585,62.25499712,-14.17450993,11.80543134,-1.99500076,-13.8004321,85
-30.34140205,48.05763133,-10.45734844,7.25888085,-3.90797342,-11.16685427,90
-25.41974623,37.00236627,-7.85489624,3.7277238,-5.15155215,-8.87927595,95
-21.36468684,28.42556928,-6.00013694,1.0607455,-5.91094626,-6.97169176,100
-18.03528929,21.79268837,-4.65342664,-0.89602755,-6.31926532,-5.42323777,105
-15.30472359,16.67728236,-3.65737898,-2.28482022,-6.47438555,-4.18956532,110
-9.69915309,7.40563139,-1.88944954,-4.18297124,-6.06427764,-1.8813064,125
-5.14160064,1.86907101,-0.71662077,-3.9891504,-4.46553326,-0.47638286,150
-2.04597039,0.11196251,-0.13634227,-2.07035014,-2.10115546,-0.03080531,200
