Electrostatics,Exchange,Induction,SAPT(DFT) Exch-Ind(S^Inf),SAPT(DFT) Exch-Ind(S^2),Delta HF,SAPT0 Exch-Ind(S^Inf),SAPT0 Exch-Ind(S^2),Dispersion,Total SAPT(DFT),Distance
-41.91135395,80.71605348,-36.48766386,37.8684738377127,31.04015921,-16.6354345,33.8458785630303,27.56511759,-11.90677009,-9.58973442,80
-35.03377702,62.73251959,-28.10808905,27.709370289853204,23.58992784,-13.8004321,24.583029199778398,20.83525095,-9.90450272,-10.3138492,85
-29.27214415,48.63424478,-21.66617167,20.3121025905876,17.83923703,-11.16685427,17.892081121473,15.66769608,-8.2732787,-10.57734973,90
-24.4989157,37.62542203,-16.72471562,14.9185092046029,13.44001333,-8.87927595,13.0481125371597,11.73386466,-6.93673398,-10.53494327,95
-20.56963804,29.05501799,-12.93690365,10.976511471198,10.09556464,-6.97169176,9.5335400776044,8.76001261,-5.83428661,-10.28581031,100
-17.34508516,22.39874486,-10.03204472,8.0879546405034,7.5646425,-5.42323777,6.9781296613314,6.52432646,-4.91999423,-9.89837925,105
-14.70165617,17.24096618,-7.80229335,5.9674392641682,5.65739033,-4.18956532,5.1163404356064,4.8508326,-4.1635702,-9.42655354,110
-9.27781893,7.79568922,-3.74513379,2.4105897428106,2.34697878,-1.8813064,2.0350913293425,1.98256818,-2.53473592,-7.76199941,125
-4.88224402,2.03176284,-1.18933029,0.5454584615765999,0.54102112,-0.47638286,0.4483355134752,0.44489935,-1.14134126,-5.18115273,150
-1.9278892,0.13000816,-0.16729792,0.029438376630000002,0.02941788,-0.03080531,0.022697306529300004,0.02268346,-0.25408837,-2.21926733,200
